Text Collection,Graph Constructor Algorithm,Graph Parameter (k or ε),# of Positive Labeled Documents (D+),Label Propagation Algorithm,"Extracted Negatives Docs (num_neg = {1,2,5,10} x |D+|)",LLGC parameter (α),F1 Score,Standard Deviation,Negative Precision
CSTR,MkNN,3,1,LLGC,x1,0.1,0.1060,0.0973,0.3750
CSTR,MkNN,3,1,LLGC,x1,0.3,0.1049,0.0983,0.3750
CSTR,MkNN,3,1,LLGC,x1,0.5,0.1048,0.0998,0.3750
CSTR,MkNN,3,1,LLGC,x1,0.7,0.1027,0.0979,0.3750
CSTR,MkNN,3,1,LLGC,x1,0.9,0.1007,0.0947,0.3750
CSTR,MkNN,3,1,LLGC,x2,0.1,0.0746,0.0909,0.3375
CSTR,MkNN,3,1,LLGC,x2,0.3,0.0743,0.0912,0.3375
CSTR,MkNN,3,1,LLGC,x2,0.5,0.0718,0.0921,0.3375
CSTR,MkNN,3,1,LLGC,x2,0.7,0.0660,0.0849,0.3375
CSTR,MkNN,3,1,LLGC,x2,0.9,0.0556,0.0797,0.3375
CSTR,MkNN,3,1,LLGC,x5,0.1,0.0399,0.0686,0.3600
CSTR,MkNN,3,1,LLGC,x5,0.3,0.0391,0.0682,0.3600
CSTR,MkNN,3,1,LLGC,x5,0.5,0.0381,0.0672,0.3600
CSTR,MkNN,3,1,LLGC,x5,0.7,0.0368,0.0651,0.3600
CSTR,MkNN,3,1,LLGC,x5,0.9,0.0282,0.0561,0.3600
CSTR,MkNN,3,1,LLGC,x10,0.1,0.0195,0.0507,0.4750
CSTR,MkNN,3,1,LLGC,x10,0.3,0.0184,0.0506,0.4750
CSTR,MkNN,3,1,LLGC,x10,0.5,0.0172,0.0488,0.4750
CSTR,MkNN,3,1,LLGC,x10,0.7,0.0158,0.0478,0.4750
CSTR,MkNN,3,1,LLGC,x10,0.9,0.0124,0.0374,0.4750
CSTR,MkNN,3,5,LLGC,x1,0.1,0.3325,0.1409,0.3600
CSTR,MkNN,3,5,LLGC,x1,0.3,0.3324,0.1429,0.3600
CSTR,MkNN,3,5,LLGC,x1,0.5,0.3341,0.1459,0.3600
CSTR,MkNN,3,5,LLGC,x1,0.7,0.3297,0.1476,0.3600
CSTR,MkNN,3,5,LLGC,x1,0.9,0.3283,0.1554,0.3600
CSTR,MkNN,3,5,LLGC,x2,0.1,0.2031,0.1287,0.2775
CSTR,MkNN,3,5,LLGC,x2,0.3,0.2039,0.1305,0.2775
CSTR,MkNN,3,5,LLGC,x2,0.5,0.2008,0.1341,0.2775
CSTR,MkNN,3,5,LLGC,x2,0.7,0.1982,0.1328,0.2775
CSTR,MkNN,3,5,LLGC,x2,0.9,0.1841,0.1281,0.2775
CSTR,MkNN,3,5,LLGC,x5,0.1,0.0436,0.0654,0.3080
CSTR,MkNN,3,5,LLGC,x5,0.3,0.0429,0.0650,0.3080
CSTR,MkNN,3,5,LLGC,x5,0.5,0.0419,0.0647,0.3080
CSTR,MkNN,3,5,LLGC,x5,0.7,0.0369,0.0618,0.3080
CSTR,MkNN,3,5,LLGC,x5,0.9,0.0358,0.0571,0.3080
CSTR,MkNN,3,5,LLGC,x10,0.1,0.0012,0.0073,0.4735
CSTR,MkNN,3,5,LLGC,x10,0.3,0.0012,0.0073,0.4735
CSTR,MkNN,3,5,LLGC,x10,0.5,0.0008,0.0049,0.4735
CSTR,MkNN,3,5,LLGC,x10,0.7,0.0008,0.0049,0.4735
CSTR,MkNN,3,5,LLGC,x10,0.9,0.0071,0.0251,0.4735
CSTR,MkNN,3,10,LLGC,x1,0.1,0.3971,0.1901,0.4050
CSTR,MkNN,3,10,LLGC,x1,0.3,0.3967,0.1933,0.4050
CSTR,MkNN,3,10,LLGC,x1,0.5,0.3987,0.1933,0.4050
CSTR,MkNN,3,10,LLGC,x1,0.7,0.4084,0.1848,0.4050
CSTR,MkNN,3,10,LLGC,x1,0.9,0.4351,0.1877,0.4050
CSTR,MkNN,3,10,LLGC,x2,0.1,0.2414,0.1855,0.3700
CSTR,MkNN,3,10,LLGC,x2,0.3,0.2348,0.1892,0.3700
CSTR,MkNN,3,10,LLGC,x2,0.5,0.2309,0.1891,0.3700
CSTR,MkNN,3,10,LLGC,x2,0.7,0.2395,0.1862,0.3700
CSTR,MkNN,3,10,LLGC,x2,0.9,0.2804,0.1726,0.3700
CSTR,MkNN,3,10,LLGC,x5,0.1,0.0271,0.0566,0.4435
CSTR,MkNN,3,10,LLGC,x5,0.3,0.0258,0.0546,0.4435
CSTR,MkNN,3,10,LLGC,x5,0.5,0.0239,0.0517,0.4435
CSTR,MkNN,3,10,LLGC,x5,0.7,0.0335,0.0544,0.4435
CSTR,MkNN,3,10,LLGC,x5,0.9,0.0785,0.1046,0.4435
CSTR,MkNN,3,10,LLGC,x10,0.1,0.0000,0.0000,0.6795
CSTR,MkNN,3,10,LLGC,x10,0.3,0.0000,0.0000,0.6795
CSTR,MkNN,3,10,LLGC,x10,0.5,0.0000,0.0000,0.6795
CSTR,MkNN,3,10,LLGC,x10,0.7,0.0121,0.0342,0.6795
CSTR,MkNN,3,10,LLGC,x10,0.9,0.0618,0.1079,0.6795
CSTR,MkNN,3,20,LLGC,x1,0.1,0.3457,0.1704,0.4825
CSTR,MkNN,3,20,LLGC,x1,0.3,0.3458,0.1690,0.4825
CSTR,MkNN,3,20,LLGC,x1,0.5,0.3460,0.1685,0.4825
CSTR,MkNN,3,20,LLGC,x1,0.7,0.3954,0.1317,0.4825
CSTR,MkNN,3,20,LLGC,x1,0.9,0.4834,0.1590,0.4825
CSTR,MkNN,3,20,LLGC,x2,0.1,0.1599,0.1716,0.4981
CSTR,MkNN,3,20,LLGC,x2,0.3,0.1577,0.1728,0.4981
CSTR,MkNN,3,20,LLGC,x2,0.5,0.1562,0.1703,0.4981
