Text Collection,Classifier (NB/EM),# of Positive Labeled Documents,α,λ,# of iterations (m),Weight of Unlabeled Documents in EM,F1 Score,Standard Deviation,Negative Precision
tr41,EM,1,0.99,0.6,1,0.1,0.0839,0.1155,0.9304
tr41,EM,1,0.99,0.6,1,0.3,0.1104,0.1121,0.9304
tr41,EM,1,0.99,0.6,1,0.5,0.1140,0.1116,0.9304
tr41,EM,1,0.99,0.6,1,0.7,0.1141,0.1110,0.9304
tr41,EM,1,0.99,0.6,1,0.9,0.1143,0.1100,0.9304
tr41,EM,1,0.99,0.6,2,0.1,0.1139,0.1142,0.9300
tr41,EM,1,0.99,0.6,2,0.3,0.1147,0.1140,0.9300
tr41,EM,1,0.99,0.6,2,0.5,0.1144,0.1137,0.9300
tr41,EM,1,0.99,0.6,2,0.7,0.1150,0.1135,0.9300
tr41,EM,1,0.99,0.6,2,0.9,0.1148,0.1134,0.9300
tr41,EM,1,0.99,0.6,3,0.1,0.1151,0.1144,0.9305
tr41,EM,1,0.99,0.6,3,0.3,0.1159,0.1142,0.9305
tr41,EM,1,0.99,0.6,3,0.5,0.1166,0.1146,0.9305
tr41,EM,1,0.99,0.6,3,0.7,0.1169,0.1142,0.9305
tr41,EM,1,0.99,0.6,3,0.9,0.1170,0.1140,0.9305
tr41,EM,1,0.99,0.7,1,0.1,0.0438,0.0853,0.9261
tr41,EM,1,0.99,0.7,1,0.3,0.1083,0.1106,0.9261
tr41,EM,1,0.99,0.7,1,0.5,0.1119,0.1117,0.9261
tr41,EM,1,0.99,0.7,1,0.7,0.1128,0.1120,0.9261
tr41,EM,1,0.99,0.7,1,0.9,0.1131,0.1116,0.9261
tr41,EM,1,0.99,0.7,2,0.1,0.1140,0.1142,0.9313
tr41,EM,1,0.99,0.7,2,0.3,0.1135,0.1147,0.9313
tr41,EM,1,0.99,0.7,2,0.5,0.1149,0.1143,0.9313
tr41,EM,1,0.99,0.7,2,0.7,0.1157,0.1141,0.9313
tr41,EM,1,0.99,0.7,2,0.9,0.1159,0.1143,0.9313
tr41,EM,1,0.99,0.7,3,0.1,0.1155,0.1147,0.9324
tr41,EM,1,0.99,0.7,3,0.3,0.1161,0.1148,0.9324
tr41,EM,1,0.99,0.7,3,0.5,0.1173,0.1152,0.9324
tr41,EM,1,0.99,0.7,3,0.7,0.1172,0.1152,0.9324
tr41,EM,1,0.99,0.7,3,0.9,0.1173,0.1152,0.9324
tr41,EM,1,0.99,0.8,1,0.1,0.0345,0.0919,0.9171
tr41,EM,1,0.99,0.8,1,0.3,0.1061,0.0962,0.9171
tr41,EM,1,0.99,0.8,1,0.5,0.1079,0.1012,0.9171
tr41,EM,1,0.99,0.8,1,0.7,0.1093,0.1022,0.9171
tr41,EM,1,0.99,0.8,1,0.9,0.1089,0.1012,0.9171
tr41,EM,1,0.99,0.8,2,0.1,0.1137,0.1147,0.9292
tr41,EM,1,0.99,0.8,2,0.3,0.1146,0.1148,0.9292
tr41,EM,1,0.99,0.8,2,0.5,0.1151,0.1150,0.9292
tr41,EM,1,0.99,0.8,2,0.7,0.1155,0.1149,0.9292
tr41,EM,1,0.99,0.8,2,0.9,0.1152,0.1150,0.9292
tr41,EM,1,0.99,0.8,3,0.1,0.1154,0.1151,0.9308
