Text Collection,Graph Constructor Algorithm,Graph Parameter k,# of Positive Labeled Documents,α,λ (|D+'| = λ x |D+|),# of iterations (m),F1 Score,Standard Deviation,Negative Precision
tr21,kNN,3,1,0.1,0.2,1,0.2828,0.2544,0.8333
tr21,kNN,3,1,0.1,0.2,2,0.2828,0.2544,0.8333
tr21,kNN,3,1,0.1,0.2,3,0.2828,0.2544,0.8333
tr21,kNN,3,1,0.1,0.6,1,0.2828,0.2544,0.8333
tr21,kNN,3,1,0.1,0.6,2,0.2828,0.2544,0.8333
tr21,kNN,3,1,0.1,0.6,3,0.2828,0.2544,0.8333
tr21,kNN,3,1,0.1,0.8,1,0.2828,0.2544,0.8333
tr21,kNN,3,1,0.1,0.8,2,0.2828,0.2544,0.8333
tr21,kNN,3,1,0.1,0.8,3,0.2828,0.2544,0.8333
tr21,kNN,3,1,0.1,1,1,0.3069,0.2245,0.8333
tr21,kNN,3,1,0.1,1,2,0.2828,0.2544,0.8333
tr21,kNN,3,1,0.1,1,3,0.2828,0.2544,0.8333
tr21,kNN,3,1,0.1,1.2,1,0.3069,0.2245,0.8333
tr21,kNN,3,1,0.1,1.2,2,0.2828,0.2544,0.8333
tr21,kNN,3,1,0.1,1.2,3,0.2828,0.2544,0.8333
tr21,kNN,3,1,0.1,1.4,1,0.3069,0.2245,0.8333
tr21,kNN,3,1,0.1,1.4,2,0.2828,0.2544,0.8333
tr21,kNN,3,1,0.1,1.4,3,0.2828,0.2544,0.8333
tr21,kNN,3,1,0.1,2,1,0.3009,0.2204,0.8278
tr21,kNN,3,1,0.1,2,2,0.3065,0.2190,0.8278
tr21,kNN,3,1,0.1,2,3,0.2828,0.2544,0.8333
tr21,kNN,3,1,0.08,0.2,1,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,0.2,2,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,0.2,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,0.6,1,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,0.6,2,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,0.6,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,0.8,1,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,0.8,2,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,0.8,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,1,1,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,1,2,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,1,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,1.2,1,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,1.2,2,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,1.2,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,1.4,1,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,1.4,2,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,1.4,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.08,2,1,0.2206,0.2730,0.8556
tr21,kNN,3,1,0.08,2,2,0.2206,0.2730,0.8556
tr21,kNN,3,1,0.08,2,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.06,0.2,1,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.06,0.2,2,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.06,0.2,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.06,0.6,1,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.06,0.6,2,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.06,0.6,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.06,0.8,1,0.2206,0.2730,0.8667
