Text Collection,# of Positive Labeled Documents,α,C,F1 Score
CSTR,1,0.2,0.1,0.0138
CSTR,1,0.2,1,0.0025
CSTR,1,0.2,10,0.0025
CSTR,1,0.2,100,0.0025
CSTR,1,0.2,1000,0.0025
CSTR,1,0.4,0.1,0.0139
CSTR,1,0.4,1,0.0025
CSTR,1,0.4,10,0.0025
CSTR,1,0.4,100,0.0025
CSTR,1,0.4,1000,0.0025
CSTR,1,0.6,0.1,0.0139
CSTR,1,0.6,1,0.0025
CSTR,1,0.6,10,0.0025
CSTR,1,0.6,100,0.0025
CSTR,1,0.6,1000,0.0025
CSTR,1,0.8,0.1,0.0138
CSTR,1,0.8,1,0.0025
CSTR,1,0.8,10,0.0025
CSTR,1,0.8,100,0.0025
CSTR,1,0.8,1000,0.0025
CSTR,1,1.0,0.1,0.0015
CSTR,1,1.0,1,0.0025
CSTR,1,1.0,10,0.0025
CSTR,1,1.0,100,0.0025
CSTR,1,1.0,1000,0.0025
CSTR,10,0.2,0.1,0.2122
CSTR,10,0.2,1,0.1790
CSTR,10,0.2,10,0.1790
CSTR,10,0.2,100,0.1790
CSTR,10,0.2,1000,0.1790
CSTR,10,0.4,0.1,0.2748
CSTR,10,0.4,1,0.1782
CSTR,10,0.4,10,0.1782
CSTR,10,0.4,100,0.1782
CSTR,10,0.4,1000,0.1782
CSTR,10,0.6,0.1,0.2748
CSTR,10,0.6,1,0.1782
CSTR,10,0.6,10,0.1782
CSTR,10,0.6,100,0.1782
CSTR,10,0.6,1000,0.1782
CSTR,10,0.8,0.1,0.2122
CSTR,10,0.8,1,0.1790
CSTR,10,0.8,10,0.1790
CSTR,10,0.8,100,0.1790
CSTR,10,0.8,1000,0.1790
CSTR,10,1.0,0.1,0.1586
CSTR,10,1.0,1,0.1515
CSTR,10,1.0,10,0.1526
CSTR,10,1.0,100,0.1526
CSTR,10,1.0,1000,0.1526
CSTR,20,0.2,0.1,0.4793
CSTR,20,0.2,1,0.4955
CSTR,20,0.2,10,0.4917
CSTR,20,0.2,100,0.4917
CSTR,20,0.2,1000,0.4917
CSTR,20,0.4,0.1,0.5398
CSTR,20,0.4,1,0.5048
CSTR,20,0.4,10,0.5011
CSTR,20,0.4,100,0.5011
CSTR,20,0.4,1000,0.5011
